区域,名称,景点id,类型,级别,热度,经纬度
宁夏·银川·西夏区,西夏陵,2498362891,文化古迹,4A景区,热度 0.,"105.867708,38.559179"
福建·漳州·南靖土楼群,云水谣土楼群,4251373224,文化古迹,,热度 0.,"117.101623,24.662736"
江西·南昌·东湖区,滕王阁,2301240201,文化古迹,4A景区,热度 1.,"115.888564,28.686101"
辽宁·沈阳·沈河区,张氏帅府,1635336074,文化古迹,4A景区,热度 0.,"123.464684,41.800237"
江苏·南京·下关区,南京阅江楼,65647061,文化古迹,4A景区,热度 0.,"118.753156,32.099944"
山东·济南·历下区,千佛山,3840604594,文化古迹,4A景区,热度 0.,"117.041792,36.644733"
江苏·南京·夫子庙秦淮河,南京中国科举博物馆（江南贡院）,3717010904,文化古迹,,热度 0.,"118.796813,32.028209"
辽宁·沈阳·沈河区,沈阳故宫,1333032179,文化古迹,4A景区,热度 0.,"123.462202,41.804471"
北京·北京·明十三陵,定陵,3317086974,文化古迹,,热度 0.,"116.233071,40.30027"
甘肃·张掖·肃南县,马蹄寺,1060365893,文化古迹,4A景区,热度 0.,"100.43466,38.509348"
湖南·衡阳·衡山,南岳大庙,1042243663,文化古迹,,热度 0.,"112.740854,27.250976"
广东·韶关·乳源县,韶关云门山,839461409,文化古迹,,热度 0.,"113.332853,24.819132"
河南·洛阳·老城区,天堂明堂-隋唐洛阳城国家遗址公园,325171384,文化古迹,,热度 0.,"112.464474,34.686965"
北京·北京·东城区,天坛公园,1053903287,文化古迹,5A景区,热度 0.,"116.417313,39.887976"
吉林·长春·宽城区,伪满皇宫博物院,2889750559,文化古迹,5A景区,热度 0.,"125.355927,43.911781"
江苏·苏州·金阊区,七里山塘,2086978906,文化古迹,4A景区,热度 0.,"120.609739,31.322922"
山东·青岛·市南区,栈桥,225939817,文化古迹,,热度 1.,"120.326563,36.065428"
山东·青岛·崂山,仰口游览区,3353998954,文化古迹,,热度 0.,"120.672997,36.242339"
浙江·杭州·西湖,杭州岳王庙,3501705640,文化古迹,,热度 0.,"120.141477,30.258698"
江苏·镇江·润州区,镇江金山,2378116228,文化古迹,5A景区,热度 0.,"119.422532,32.225542"
甘肃·酒泉·敦煌市,敦煌阳关景区,839979878,文化古迹,4A景区,热度 0.,"94.060458,39.941283"
湖南·岳阳·岳阳楼区,岳阳楼—君山岛景区,751669301,文化古迹,5A景区,热度 1.,"113.013372,29.3586"
山东·青岛·市南区,青岛德国监狱旧址博物馆,1398495628,文化古迹,3A景区,热度 0.,"120.335185,36.067216"
广西·贺州·昭平县,黄姚古镇,3457869885,文化古迹,4A景区,热度 1.,"111.209664,24.254288"
江苏·苏州·金阊区,寒山寺,891967151,文化古迹,4A景区,热度 0.,"120.574213,31.316189"
江西·上饶·玉山县,三清山,2205283271,文化古迹,5A景区,热度 0.,"118.075981,28.915377"
河南·开封·龙亭区,龙亭公园,79109322,文化古迹,4A景区,热度 0.,"114.359797,34.814381"
贵州·贵阳·花溪区,青岩古镇,1308678621,文化古迹,5A景区,热度 0.,"106.695326,26.339051"
江苏·苏州·工业园区,重元寺,2077229037,文化古迹,4A景区,热度 0.,"120.788608,31.412087"
山西·晋中·祁县,乔家大院,1203837703,文化古迹,5A景区,热度 0.,"112.44405,37.41108"
陕西·咸阳·乾县,乾陵,441556452,文化古迹,4A景区,热度 1.,"108.226308,34.577233"
天津·天津·滨海新区,大沽口炮台遗址,3497524618,文化古迹,,热度 0.,"117.716282,38.983338"
河南·开封·龙亭区,大相国寺,1634703425,文化古迹,4A景区,热度 0.,"114.36085,34.796486"
福建·漳州·东山岛,东山风动石,3795654806,文化古迹,4A景区,热度 0.,"117.541012,23.742962"
江苏·苏州·沧浪区,盘门,2785800829,文化古迹,4A景区,热度 0.,"120.622528,31.293535"
宁夏·银川·灵武市,水洞沟旅游区,3773656333,文化古迹,5A景区,热度 0.,"106.525497,38.289477"
北京·北京·怀柔区,黄花城长城,2897325591,文化古迹,3A景区,热度 0.,"116.31954,40.417497"
河南·开封·鼓楼区,包公祠,1716799510,文化古迹,4A景区,热度 0.,"114.345583,34.799117"
广东·肇庆·星湖,鼎湖山,2446117003,文化古迹,4A景区,热度 0.,"112.561202,23.165899"
四川·成都·大邑县,安仁古镇,397599110,文化古迹,,热度 0.,"103.62469,30.512966"
北京·北京·昌平区,居庸关长城,2438040075,文化古迹,4A景区,热度 0.,"116.081732,40.295477"
浙江·嘉兴·乌镇,乌镇一日游,915587145,文化古迹,,热度 0.,"120.494465,30.754749"
陕西·西安·莲湖区,高家大院,4156977699,文化古迹,,热度 0.,"108.94997,34.269155"
浙江·杭州,灵隐寺,1064944660,文化古迹,,热度 0.,"120.106626,30.241491"
江西·上饶·婺源县,婺源,456786705,文化古迹,5A景区,热度 1.,"117.861924,29.247904"
海南·海口·琼山区,五公祠,2355646272,文化古迹,3A景区,热度 0.,"110.367468,20.012936"
